sample_id,collection_date,dilution,name,site_name,sewershed_pop,Influenza_A_num_wells,Influenza_A_gc_g_dry_weight,Influenza_A_gc_g_dry_weight_lci,Influenza_A_gc_g_dry_weight_uci,Influenza_A_gc_g_dry_weight_pmmov,Influenza_A_gc_g_dry_weight_pmmov_lci,Influenza_A_gc_g_dry_weight_pmmov_uci,Influenza_A_gc_g_dry_weight_trimmed5,Influenza_A_gc_g_dry_weight_trimmed5_pmmov
"61-220901","2022-09-01",1,"Harrisburg, PA","Capital Region Water AWTF",125000,5,0,0,0,0,0,0,0,0
"61-220905","2022-09-05",1,"Harrisburg, PA","Capital Region Water AWTF",125000,6,0,0,0,0,0,0,0,0
"61-220906","2022-09-06",1,"Harrisburg, PA","Capital Region Water AWTF",125000,6,0,0,0,0,0,0,0,0
"61-220908","2022-09-08",1,"Harrisburg, PA","Capital Region Water AWTF",125000,5,0,0,0,0,0,0,0,0
"61-220911","2022-09-11",1,"Harrisburg, PA","Capital Region Water AWTF",125000,5,0,0,0,0,0,0,0,0
"61-220913","2022-09-13",1,"Harrisburg, PA","Capital Region Water AWTF",125000,6,0,0,0,0,0,0,0,0
"61-220915","2022-09-15",1,"Harrisburg, PA","Capital Region Water AWTF",125000,6,0,0,0,0,0,0,0,0
"61-220918","2022-09-18",1,"Harrisburg, PA","Capital Region Water AWTF",125000,5,0,0,0,0,0,0,0,0
"61-220920","2022-09-20",1,"Harrisburg, PA","Capital Region Water AWTF",125000,6,0,0,0,0,0,0,0,0
"61-220922","2022-09-22",1,"Harrisburg, PA","Capital Region Water AWTF",125000,6,0,0,0,0,0,0,689.0185690631807,0.000004620869255878391
"61-220925","2022-09-25",1,"Harrisburg, PA","Capital Region Water AWTF",125000,6,7750.12443943662,4136.836024788733,10640.233892957745,0.00002525842251294873,0.000012076796280410427,0.00003844004874548703,689.0185690631807,0.000004620869255878391
"61-220927","2022-09-27",1,"Harrisburg, PA","Capital Region Water AWTF",125000,6,2067.0557071895423,1074.1734169934641,3538.8311271459697,0.000013862607767635173,0.0000034750479514566615,0.000024250167583813685,689.0185690631807,0.000004620869255878391
"61-220929","2022-09-29",1,"Harrisburg, PA","Capital Region Water AWTF",125000,5,0,0,0,0,0,0,2526.2092559240223,0.000008967668453705158
"61-221002","2022-10-02",1,"Harrisburg, PA","Capital Region Water AWTF",125000,6,0,0,0,0,0,0,2526.2092559240223,0.000008574556217533831
"61-221004","2022-10-04",1,"Harrisburg, PA","Capital Region Water AWTF",125000,6,5511.5720605825245,3049.909682330097,8102.096786019418,0.000013040397593480302,0.000005006756955430544,0.00002107403823153006,1837.1906868608414,0.000004227757019707065
"61-221006","2022-10-06",1,"Harrisburg, PA","Capital Region Water AWTF",125000,6,7754.457792,3973.090119111111,11810.181934933333,0.000012683271059121194,0.000005079543675021518,0.00002028699844322087,3925.4398181739725,0.000006401192456043128
"61-221010","2022-10-10",1,"Harrisburg, PA","Capital Region Water AWTF",125000,6,0,0,0,0,0,0,3925.4398181739725,0.000006401192456043128
"61-221011","2022-10-11",1,"Harrisburg, PA","Capital Region Water AWTF",125000,6,6264.747393939393,3269.7244719191913,10006.466899393938,0.000006520306309008188,0.0000024806706281369707,0.000010559941989879405,4469.305534404918,0.000006401192456043128
"61-221013","2022-10-13",1,"Harrisburg, PA","Capital Region Water AWTF",125000,6,0,0,0,0,0,0,2984.0207233076094,0.000006203384463035351
"61-221016","2022-10-16",1,"Harrisburg, PA","Capital Region Water AWTF",125000,6,7143.169209275362,4591.824351304347,10500.587414492753,0.000014496609891136354,0.000007277680499369822,0.000021715539282902888,3872.237688812986,0.000011035587760080803
"61-221018","2022-10-18",1,"Harrisburg, PA","Capital Region Water AWTF",125000,6,2687.3147759834364,1314.492082484472,4292.357288944098,0.000012089847080097864,0.000003873003188718314,0.000020306690971477414,3350.156662758381,0.000011788279124054195
"61-221020","2022-10-20",1,"Harrisburg, PA","Capital Region Water AWTF",125000,6,2664.650896516129,974.0756404301075,4327.439236129032,0.00002139560740942543,0.000006932565910001007,0.00003585864890884985,4842.9961003447925,0.000015994021460219882
"61-221023","2022-10-23",1,"Harrisburg, PA","Capital Region Water AWTF",125000,6,4698.504315775577,2881.1018455445546,7155.892872871286,0.00000877838040092837,0.000002028937780485402,0.00001552782302137134,6342.141377815592,0.000023056301736887315
"61-221025","2022-10-25",1,"Harrisburg, PA","Capital Region Water AWTF",125000,6,11640.605041687762,8155.967615189873,15981.47601012658,0.000035785370642897854,0.000014818035445697334,0.00005675270584009837,9667.579446580605,0.000030954809591153986
"61-221027","2022-10-27",1,"Harrisburg, PA","Capital Region Water AWTF",125000,6,12663.628982278478,9910.525151054851,15885.43859578059,0.00003568345072113866,0.000020319621593506105,0.00005104727984877121,11301.03827276416,0.0000352090500620672
"61-221030","2022-10-30",1,"Harrisburg, PA","Capital Region Water AWTF",125000,6,21798.199552000002,14497.32039111111,29468.568163555556,0.00005245402985217466,0.00003150719196391694,0.00007340086774043239,11301.03827276416,0.00003644339238002285
"61-221101","2022-11-01",1,"Harrisburg, PA","Capital Region Water AWTF",125000,6,9598.88079432624,6603.704276879433,12399.89215319149,0.00003415832882216508,0.000014085534629426286,0.000054231123014903876,13079.429718127498,0.00004199961211644846
"61-221103","2022-11-03",1,"Harrisburg, PA","Capital Region Water AWTF",125000,6,9559.712605243447,7532.944838951311,11921.16112059925,0.000037861355776032043,0.000027101733941928842,0.000048620977610135245,16124.286574701337,0.00005251179344319418
"61-221106","2022-11-06",1,"Harrisburg, PA","Capital Region Water AWTF",125000,6,16975.779377777773,11768.025065396825,21745.189790476186,0.00006835575104899707,0.00004303895188676496,0.00009367255021122919,21501.670035618594,0.00005781236717546831
"61-221108","2022-11-08",1,"Harrisburg, PA","Capital Region Water AWTF",125000,6,37930.349934751765,31892.201577304957,44687.41991489362,0.00006721999470137581,0.00005366988524849233,0.00008077010415425929,24503.389604628184,0.00007077467891941259
"61-221110","2022-11-10",1,"Harrisburg, PA","Capital Region Water AWTF",125000,6,45092.30113523809,36902.28007619047,53724.58412190475,0.00011893064854975069,0.00006325154561934136,0.00017460975148016002,24503.389604628184,0.00007077467891941259
"61-221113","2022-11-13",1,"Harrisburg, PA","Capital Region Water AWTF",125000,6,18604.03950135501,14920.16877615176,22849.617933875335,0.00007674829100786488,0.00005655406505263426,0.0000969425169630955,29223.44457491141,0.00008763297808633045
"61-221115","2022-11-15",1,"Harrisburg, PA","Capital Region Water AWTF",125000,5,15591.623300598805,11827.38511457086,19582.91592175649,0.00005105221876647222,0.000021008370773427243,0.0000810960667595172,26127.360632639655,0.00010780541936480346
"61-221117","2022-11-17",1,"Harrisburg, PA","Capital Region Water AWTF",125000,6,31135.94428862745,25614.190569411767,36712.65396705882,0.00017822668157146208,0.0001329256077706836,0.00022352775537224056,26127.360632639655,0.00012757076370537392
"61-221120","2022-11-20",1,"Harrisburg, PA","Capital Region Water AWTF",125000,6,28642.098107936505,23628.10808253968,33056.709498412696,0.00012773731853679481,0.00009392863872567005,0.00016154599834791958,43146.567387193485,0.00017919612095842227
"61-221122","2022-11-22",1,"Harrisburg, PA","Capital Region Water AWTF",125000,6,80897.10180173913,72610.66713043477,89792.0857321739,0.00023162436276701,0.0001695936990111744,0.0002936550265228456,60187.84983050354,0.0002597001110093207
"61-221124","2022-11-24",1,"Harrisburg, PA","Capital Region Water AWTF",125000,6,69661.6597650165,61583.005951155115,78418.22809768977,0.00036924928868949005,0.0003025972316485666,0.0004359013457304135,76774.9023348741,0.00034672480910684155
"61-221127","2022-11-27",1,"Harrisburg, PA","Capital Region Water AWTF",125000,6,79765.94543786666,71892.32890026667,88195.45489066666,0.00043930077586402456,0.00035514675128233396,0.0005234548004457152,81533.07375934129,0.00041762884534444193
"61-221129","2022-11-29",1,"Harrisburg, PA","Capital Region Water AWTF",125000,6,153339.34913236712,123571.36822415456,183128.3937391304,0.00044433647147981107,0.0002493930637103117,0.0006392798792493105,96774.6436620854,0.0004328058171804954
"61-221201","2022-12-01",1,"Harrisburg, PA","Capital Region Water AWTF",125000,6,83936.17403841807,75030.52620112995,94562.25030508476,0.0007676314177815486,0.0006289416472500319,0.0009063211883130652,121299.11156025222,0.000550422888375128
"61-221204","2022-12-04",1,"Harrisburg, PA","Capital Region Water AWTF",125000,6,126621.81150997146,116611.94803418801,136632.6095498575,0.0004147802041976506,0.0003498657978579179,0.0004796946105373833,121299.11156025222,0.0006743333341463028
"61-221207","2022-12-07",1,"Harrisburg, PA","Capital Region Water AWTF",125000,5,305698.6657923498,288584.2453333334,322815.9419453552,0.0011455455881251196,0.001001023957911224,0.001290067218339015,116153.17743705078,0.0006760864204928048
"61-221208","2022-12-08",1,"Harrisburg, PA","Capital Region Water AWTF",125000,6,56254.14011929825,49071.01079298246,63245.05387368421,0.0008110321131775488,0.0006627467256664569,0.0009593175006886406,135025.85135586865,0.0005584693492981721
"61-221211","2022-12-11",1,"Harrisburg, PA","Capital Region Water AWTF",125000,6,137901.54676276277,122926.52300300299,153334.03627627625,0.000449595730519317,0.00034081978137687706,0.0005583716796617569,112283.58873245656,0.0005980251965656426
"61-221213","2022-12-13",1,"Harrisburg, PA","Capital Region Water AWTF",125000,6,140554.19579487178,122932.00615384615,159844.0928205128,0.00036897113982315154,0.00027295489816097577,0.0004649873814853273,108660.68099836349,0.0005980251965656426
"61-221215","2022-12-15",1,"Harrisburg, PA","Capital Region Water AWTF",125000,6,58395.02363973509,47519.98699514348,67118.01945430462,0.0005334477460000622,0.00022410624294354393,0.0008427892490565805,133614.11026130893,0.0005129632677718605
"61-221218","2022-12-18",1,"Harrisburg, PA","Capital Region Water AWTF",125000,6,129685.4725925926,110672.33259259262,148694.6388888889,0.0008782895338524914,0.0006193617588199866,0.0011372173088849962,134498.32660534527,0.0004860884042064721
"61-221220","2022-12-20",1,"Harrisburg, PA","Capital Region Water AWTF",125000,6,133255.3114285714,110777.51428571428,159935.05428571426,0.0005558463267962025,0.00034846215757401125,0.0007632304960183938,171296.9695255732,0.0005925905973174864
"61-221222","2022-12-22",1,"Harrisburg, PA","Capital Region Water AWTF",125000,5,250950.12455555558,233915.62033333338,267986.8538888889,0.00010069784461153464,0.00009099797380485752,0.00011039771541821177,174679.5539729225,0.0005205429496648524
"61-221225","2022-12-25",1,"Harrisburg, PA","Capital Region Water AWTF",125000,3,582541.876494382,543003.8966891386,617821.6255280899,0.0006884777191561944,0.0006096793422541297,0.0007672760960582591,196055.42455294114,0.00047561936357612736
"61-221227","2022-12-27",1,"Harrisburg, PA","Capital Region Water AWTF",125000,6,139833.2259346405,119610.68047058825,158662.53427450982,0.00031730480304216035,0.0002628981333471678,0.0003717114727371529,196055.42455294114,0.00035411045361491623
"61-221229","2022-12-29",1,"Harrisburg, PA","Capital Region Water AWTF",125000,6,197382.92316862743,172344.62657254902,219961.05424313722,0.0005537069608900192,0.00041751531460501123,0.0006898986071750271,138294.98570661037,0.00038226573457824146
"61-230101","2023-01-01",1,"Harrisburg, PA","Capital Region Water AWTF",125000,6,75181.03050666668,38054.74945939394,114150.53856969698,0.00019131959691256917,0.00006682585948231373,0.0003158133343428246,97561.02148595678,0.0002812680555752604
"61-230103","2023-01-03",1,"Harrisburg, PA","Capital Region Water AWTF",125000,3,77668.80801656315,68462.79831055901,87666.21336645962,0.0002757854398025449,0.0002113902036514837,0.00034018067595360606,80305.90333817062,0.0002392729868653967
"61-230105","2023-01-05",1,"Harrisburg, PA","Capital Region Water AWTF",125000,6,40008.41694199134,35232.00311688312,45198.44881038961,0.0002507139238810761,0.0001909352160383116,0.00031049263172384055,65275.394700178265,0.00018988265726262903
"61-230108","2023-01-08",1,"Harrisburg, PA","Capital Region Water AWTF",125000,6,88067.87149128204,76120.63578256409,101206.0018707692,0.00012761445099424189,0.00008794118886656387,0.0001672877131219199,53551.190178619814,0.00015680934332837237
"61-230110","2023-01-10",1,"Harrisburg, PA","Capital Region Water AWTF",125000,6,42976.34557730496,35463.91818439717,52839.039069503546,0.00008730660750738387,0.0000633204890214536,0.00011129272599331414,38857.77888905836,0.00010234023787047496
"61-230112","2023-01-12",1,"Harrisburg, PA","Capital Region Water AWTF",125000,6,33588.57414787879,27848.945968484844,39354.168281212114,0.0000920996551097991,0.0000736337142676234,0.0001105655959519748,31322.498741587264,0.00008239459677384627
"61-230115","2023-01-15",1,"Harrisburg, PA","Capital Region Water AWTF",125000,6,11963.021961815335,9456.61362879499,14459.459250078246,0.0000677775277043558,0.00005156180303635703,0.00008399325237235456,22259.922955148755,0.00007804108124892022
"61-230117","2023-01-17",1,"Harrisburg, PA","Capital Region Water AWTF",125000,5,17402.57649957806,12659.394790886077,23204.386983966247,0.00001892269701885471,0.00001218402660279702,0.0000256613674349124,18949.917682257004,0.00006831844165835501
"61-230119","2023-01-19",1,"Harrisburg, PA","Capital Region Water AWTF",125000,6,15788.618217989419,12520.168194708995,19582.205976719575,0.00007903910853502099,0.00005481583942541816,0.00010326237764462381,15768.839842451134,0.00006091835290968872
"61-230122","2023-01-22",1,"Harrisburg, PA","Capital Region Water AWTF",125000,6,23658.558329203537,18760.82181474926,29343.27589380531,0.00005813868873568824,0.000041401248184338626,0.00007487612928703784,15768.839842451134,0.000044633409347855035
"61-230124","2023-01-24",1,"Harrisburg, PA","Capital Region Water AWTF",125000,6,14115.324809785932,10669.009037308866,18234.299596330275,0.00005683884228902213,0.00003821417568347536,0.0000754635088945689,15371.379066941665,0.000056325736249748024
"61-230126","2023-01-26",1,"Harrisburg, PA","Capital Region Water AWTF",125000,6,7462.2705157062155,5115.33055638418,10437.064922033896,0.000017619431173953358,0.000009326059678676753,0.000025912802669229963,12595.929832847265,0.000042819317062503074
"61-230129","2023-01-29",1,"Harrisburg, PA","Capital Region Water AWTF",125000,6,16210.194173049646,11814.898632624112,20600.672312056733,0.000053999677724533715,0.00002738649326981117,0.00008061286217925626,9502.553624787557,0.000028753820622715415
"61-230131","2023-01-31",1,"Harrisburg, PA","Capital Region Water AWTF",125000,5,6930.065548870525,4616.362332561984,9912.11646942149,0.000014642352969659173,0.000006882220883110235,0.00002240248505620811,10200.843412542128,0.000019287712521886077
"61-230202","2023-02-02",1,"Harrisburg, PA","Capital Region Water AWTF",125000,5,0,0,0,0,0,0,10969.273783330116,0.000019169765645605444
"61-230205","2023-02-05",1,"Harrisburg, PA","Capital Region Water AWTF",125000,6,19149.875999999997,14193.96292121212,26951.900036363637,0.000025601353422045696,0.000009903154889444705,0.00004129955195464669,9780.289937710395,0.000017766641829131244
"61-230207","2023-02-07",1,"Harrisburg, PA","Capital Region Water AWTF",125000,5,9767.561628070176,6491.622903859649,13895.60783157895,0.00001726559054511146,0.000009589277935950817,0.000024941903154272104,7470.268088086884,0.000012885857505911521
"61-230209","2023-02-09",1,"Harrisburg, PA","Capital Region Water AWTF",125000,4,12643.242636190478,5277.417197714286,18831.368096507937,0.000021391981972623104,0.000007372519233314368,0.00003541144471193184,9635.240892531328,0.000020589121971165903
"61-230212","2023-02-12",1,"Harrisburg, PA","Capital Region Water AWTF",125000,5,0,0,0,0,0,0,5420.826680467836,0.000012885857505911521
"61-230214","2023-02-14",1,"Harrisburg, PA","Capital Region Water AWTF",125000,6,6494.918413333334,1750.1442575438596,11605.630842105264,0.000023109793395763152,0.0000032349065366033053,0.000042984680254922996,3077.2213961481484,0.000010595526905770801
"61-230216","2023-02-16",1,"Harrisburg, PA","Capital Region Water AWTF",125000,6,0,0,0,0,0,0,3036.176869641249,0.00001116813071348415
"61-230219","2023-02-19",1,"Harrisburg, PA","Capital Region Water AWTF",125000,6,2736.745775111111,1422.1866924444446,4685.352576888889,0.000010394598744689297,0.000002632726122583034,0.000018156471366795558,3036.176869641249,0.00001116813071348415
"61-230221","2023-02-21",1,"Harrisburg, PA","Capital Region Water AWTF",125000,4,6371.784833812636,3686.603377777778,9964.999027450982,0.00003762057704058823,0.00001349743120827776,0.0000617437228728987,912.2485917037037,0.0000034648662482297658
"61-230223","2023-02-23",1,"Harrisburg, PA","Capital Region Water AWTF",125000,6,0,0,0,0,0,0,912.2485917037037,0.0000034648662482297658
"61-230226","2023-02-26",1,"Harrisburg, PA","Capital Region Water AWTF",125000,6,0,0,0,0,0,0,0,0
"61-230228","2023-02-28",1,"Harrisburg, PA","Capital Region Water AWTF",125000,5,0,0,0,0,0,0,0,0
"61-230302","2023-03-02",1,"Harrisburg, PA","Capital Region Water AWTF",125000,6,0,0,0,0,0,0,0,0
"61-230305","2023-03-05",1,"Harrisburg, PA","Capital Region Water AWTF",125000,6,0,0,0,0,0,0,0,0
"SAC201013","2020-10-13",1,"Sacramento, CA","Sacramento Regional Wastewater Treatment Plant",1480000,"","","","","","","","",""
"SAC201020","2020-10-20",1,"Sacramento, CA","Sacramento Regional Wastewater Treatment Plant",1480000,"","","","","","","","",""
"SAC201027","2020-10-27",1,"Sacramento, CA","Sacramento Regional Wastewater Treatment Plant",1480000,"","","","","","","","",""
"SAC201103","2020-11-03",1,"Sacramento, CA","Sacramento Regional Wastewater Treatment Plant",1480000,"","","","","","","","",""
"SAC201110","2020-11-10",1,"Sacramento, CA","Sacramento Regional Wastewater Treatment Plant",1480000,"","","","","","","","",""
"SAC201117","2020-11-17",1,"Sacramento, CA","Sacramento Regional Wastewater Treatment Plant",1480000,"","","","","","","","",""
"SAC201124","2020-11-24",1,"Sacramento, CA","Sacramento Regional Wastewater Treatment Plant",1480000,"","","","","","","","",""
"SAC201201","2020-12-01",1,"Sacramento, CA","Sacramento Regional Wastewater Treatment Plant",1480000,"","","","","","","","",""
"SAC0635","2020-12-08",1,"Sacramento, CA","Sacramento Regional Wastewater Treatment Plant",1480000,"","","","","","","","",""
"SAC0906","2020-12-09",1,"Sacramento, CA","Sacramento Regional Wastewater Treatment Plant",1480000,"","","","","","","","",""
"SAC0727","2020-12-10",1,"Sacramento, CA","Sacramento Regional Wastewater Treatment Plant",1480000,"","","","","","","","",""
"SAC0818","2020-12-11",1,"Sacramento, CA","Sacramento Regional Wastewater Treatment Plant",1480000,"","","","","","","","",""
"SAC0030","2020-12-12",1,"Sacramento, CA","Sacramento Regional Wastewater Treatment Plant",1480000,"","","","","","","","",""
"SAC201213","2020-12-13",1,"Sacramento, CA","Sacramento Regional Wastewater Treatment Plant",1480000,"","","","","","","","",""
"SAC201214","2020-12-14",1,"Sacramento, CA","Sacramento Regional Wastewater Treatment Plant",1480000,"","","","","","","","",""
"SAC201215","2020-12-15",1,"Sacramento, CA","Sacramento Regional Wastewater Treatment Plant",1480000,"","","","","","","","",""
"SAC201216","2020-12-16",1,"Sacramento, CA","Sacramento Regional Wastewater Treatment Plant",1480000,"","","","","","","","",""
"SAC201217","2020-12-17",1,"Sacramento, CA","Sacramento Regional Wastewater Treatment Plant",1480000,"","","","","","","","",""
"SAC201218","2020-12-18",1,"Sacramento, CA","Sacramento Regional Wastewater Treatment Plant",1480000,"","","","","","","","",""
"SAC201219","2020-12-19",1,"Sacramento, CA","Sacramento Regional Wastewater Treatment Plant",1480000,"","","","","","","","",""
"SAC201220-20201220","2020-12-20",1,"Sacramento, CA","Sacramento Regional Wastewater Treatment Plant",1480000,"","","","","","","","",""
"SAC201220","2020-12-21",1,"Sacramento, CA","Sacramento Regional Wastewater Treatment Plant",1480000,"","","","","","","","",""
"SAC201222","2020-12-22",1,"Sacramento, CA","Sacramento Regional Wastewater Treatment Plant",1480000,"","","","","","","","",""
"SAC201223","2020-12-23",1,"Sacramento, CA","Sacramento Regional Wastewater Treatment Plant",1480000,"","","","","","","","",""
"SAC201224","2020-12-24",1,"Sacramento, CA","Sacramento Regional Wastewater Treatment Plant",1480000,"","","","","","","","",""
"SAC201225","2020-12-25",1,"Sacramento, CA","Sacramento Regional Wastewater Treatment Plant",1480000,"","","","","","","","",""
"SAC201226","2020-12-26",1,"Sacramento, CA","Sacramento Regional Wastewater Treatment Plant",1480000,"","","","","","","","",""
"SAC201227","2020-12-27",1,"Sacramento, CA","Sacramento Regional Wastewater Treatment Plant",1480000,"","","","","","","","",""
"SAC900010","2020-12-28",1,"Sacramento, CA","Sacramento Regional Wastewater Treatment Plant",1480000,"","","","","","","","",""
"SAC900049","2020-12-29",1,"Sacramento, CA","Sacramento Regional Wastewater Treatment Plant",1480000,"","","","","","","","",""
"SAC900058","2020-12-30",1,"Sacramento, CA","Sacramento Regional Wastewater Treatment Plant",1480000,"","","","","","","","",""
"SAC900037","2020-12-31",1,"Sacramento, CA","Sacramento Regional Wastewater Treatment Plant",1480000,"","","","","","","","",""
"SAC900020","2021-01-01",1,"Sacramento, CA","Sacramento Regional Wastewater Treatment Plant",1480000,"","","","","","","","",""
"SAC900060","2021-01-02",1,"Sacramento, CA","Sacramento Regional Wastewater Treatment Plant",1480000,"","","","","","","","",""
"SAC900027","2021-01-03",1,"Sacramento, CA","Sacramento Regional Wastewater Treatment Plant",1480000,"","","","","","","","",""
"SAC900039","2021-01-04",1,"Sacramento, CA","Sacramento Regional Wastewater Treatment Plant",1480000,"","","","","","","","",""
"SAC900011","2021-01-05",1,"Sacramento, CA","Sacramento Regional Wastewater Treatment Plant",1480000,"","","","","","","","",""
"SAC900003","2021-01-06",1,"Sacramento, CA","Sacramento Regional Wastewater Treatment Plant",1480000,"","","","","","","","",""
"SAC900008","2021-01-07",1,"Sacramento, CA","Sacramento Regional Wastewater Treatment Plant",1480000,"","","","","","","","",""
"SAC900040","2021-01-08",1,"Sacramento, CA","Sacramento Regional Wastewater Treatment Plant",1480000,"","","","","","","","",""
"SAC900004","2021-01-09",1,"Sacramento, CA","Sacramento Regional Wastewater Treatment Plant",1480000,"","","","","","","","",""
"SAC9000016","2021-01-10",1,"Sacramento, CA","Sacramento Regional Wastewater Treatment Plant",1480000,"","","","","","","","",""
"SAC900034","2021-01-11",1,"Sacramento, CA","Sacramento Regional Wastewater Treatment Plant",1480000,"","","","","","","","",""
"SAC900046","2021-01-12",1,"Sacramento, CA","Sacramento Regional Wastewater Treatment Plant",1480000,"","","","","","","","",""
"SAC900012","2021-01-13",1,"Sacramento, CA","Sacramento Regional Wastewater Treatment Plant",1480000,"","","","","","","","",""
"SAC900041","2021-01-14",1,"Sacramento, CA","Sacramento Regional Wastewater Treatment Plant",1480000,"","","","","","","","",""
"SAC900033","2021-01-15",1,"Sacramento, CA","Sacramento Regional Wastewater Treatment Plant",1480000,"","","","","","","","",""
"SAC900015","2021-01-16",1,"Sacramento, CA","Sacramento Regional Wastewater Treatment Plant",1480000,"","","","","","","","",""
"SAC900052","2021-01-17",1,"Sacramento, CA","Sacramento Regional Wastewater Treatment Plant",1480000,"","","","","","","","",""
"SAC900043","2021-01-18",1,"Sacramento, CA","Sacramento Regional Wastewater Treatment Plant",1480000,"","","","","","","","",""
"SAC900005","2021-01-19",1,"Sacramento, CA","Sacramento Regional Wastewater Treatment Plant",1480000,"","","","","","","","",""
"SAC900031-2021-01-20","2021-01-20",1,"Sacramento, CA","Sacramento Regional Wastewater Treatment Plant",1480000,"","","","","","","","",""
"SAC900017","2021-01-21",1,"Sacramento, CA","Sacramento Regional Wastewater Treatment Plant",1480000,"","","","","","","","",""
"SAC900002","2021-01-22",1,"Sacramento, CA","Sacramento Regional Wastewater Treatment Plant",1480000,"","","","","","","","",""
"SAC900031","2021-01-23",1,"Sacramento, CA","Sacramento Regional Wastewater Treatment Plant",1480000,"","","","","","","","",""
"SAC900051","2021-01-24",1,"Sacramento, CA","Sacramento Regional Wastewater Treatment Plant",1480000,"","","","","","","","",""
"SAC900038","2021-01-25",1,"Sacramento, CA","Sacramento Regional Wastewater Treatment Plant",1480000,"","","","","","","","",""
"SAC900371","2021-01-26",1,"Sacramento, CA","Sacramento Regional Wastewater Treatment Plant",1480000,"","","","","","","","",""
"SAC900353","2021-01-27",1,"Sacramento, CA","Sacramento Regional Wastewater Treatment Plant",1480000,"","","","","","","","",""
"SAC900360","2021-01-28",1,"Sacramento, CA","Sacramento Regional Wastewater Treatment Plant",1480000,"","","","","","","","",""
"SAC900344","2021-01-29",1,"Sacramento, CA","Sacramento Regional Wastewater Treatment Plant",1480000,"","","","","","","","",""
"SAC900351","2021-01-30",1,"Sacramento, CA","Sacramento Regional Wastewater Treatment Plant",1480000,"","","","","","","","",""
"SAC900359","2021-01-31",1,"Sacramento, CA","Sacramento Regional Wastewater Treatment Plant",1480000,"","","","","","","","",""
"SAC900355","2021-02-01",1,"Sacramento, CA","Sacramento Regional Wastewater Treatment Plant",1480000,"","","","","","","","",""
"SAC900350","2021-02-02",1,"Sacramento, CA","Sacramento Regional Wastewater Treatment Plant",1480000,"","","","","","","","",""
"SAC900358","2021-02-03",1,"Sacramento, CA","Sacramento Regional Wastewater Treatment Plant",1480000,"","","","","","","","",""
"SAC900370","2021-02-04",1,"Sacramento, CA","Sacramento Regional Wastewater Treatment Plant",1480000,"","","","","","","","",""
"SAC900361","2021-02-05",1,"Sacramento, CA","Sacramento Regional Wastewater Treatment Plant",1480000,"","","","","","","","",""
"SAC900368","2021-02-06",1,"Sacramento, CA","Sacramento Regional Wastewater Treatment Plant",1480000,"","","","","","","","",""
"SAC900029","2021-02-07",1,"Sacramento, CA","Sacramento Regional Wastewater Treatment Plant",1480000,"","","","","","","","",""
"SAC800131","2021-02-08",1,"Sacramento, CA","Sacramento Regional Wastewater Treatment Plant",1480000,"","","","","","","","",""
"SAC900339","2021-02-09",1,"Sacramento, CA","Sacramento Regional Wastewater Treatment Plant",1480000,"","","","","","","","",""
"SAC900340","2021-02-10",1,"Sacramento, CA","Sacramento Regional Wastewater Treatment Plant",1480000,"","","","","","","","",""
"SAC900341","2021-02-11",1,"Sacramento, CA","Sacramento Regional Wastewater Treatment Plant",1480000,"","","","","","","","",""
"SAC900347","2021-02-12",1,"Sacramento, CA","Sacramento Regional Wastewater Treatment Plant",1480000,"","","","","","","","",""
